./Experiments/cifar10-simclr_resnet18-clean
Use GPU: 0 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
main_train.py:124: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[63-epoch] time:42.410 | knn acc: 73.499 | loss:37.825 | cl_loss:37.825
[64-epoch] time:42.440 | knn acc: 74.702 | loss:37.810 | cl_loss:37.810
[65-epoch] time:42.358 | knn acc: 74.167 | loss:37.801 | cl_loss:37.801
[66-epoch] time:42.201 | knn acc: 72.070 | loss:37.778 | cl_loss:37.778
[67-epoch] time:42.186 | knn acc: 75.339 | loss:37.795 | cl_loss:37.795
[68-epoch] time:42.494 | knn acc: 73.869 | loss:37.780 | cl_loss:37.780
[69-epoch] time:42.062 | knn acc: 75.226 | loss:37.790 | cl_loss:37.790
[70-epoch] time:42.286 | knn acc: 74.846 | loss:37.744 | cl_loss:37.744
[71-epoch] time:42.345 | knn acc: 75.565 | loss:37.780 | cl_loss:37.780
[72-epoch] time:42.377 | knn acc: 74.435 | loss:37.738 | cl_loss:37.738
[73-epoch] time:42.446 | knn acc: 74.846 | loss:37.757 | cl_loss:37.757
[74-epoch] time:42.198 | knn acc: 76.449 | loss:37.754 | cl_loss:37.754
[75-epoch] time:42.328 | knn acc: 77.025 | loss:37.736 | cl_loss:37.736
[76-epoch] time:42.263 | knn acc: 76.460 | loss:37.731 | cl_loss:37.731
[77-epoch] time:42.329 | knn acc: 77.097 | loss:37.737 | cl_loss:37.737
[78-epoch] time:42.337 | knn acc: 76.696 | loss:37.732 | cl_loss:37.732
[79-epoch] time:42.277 | knn acc: 74.949 | loss:37.741 | cl_loss:37.741
[80-epoch] time:41.980 | knn acc: 74.887 | loss:37.716 | cl_loss:37.716
[81-epoch] time:42.043 | knn acc: 74.774 | loss:37.722 | cl_loss:37.722
[82-epoch] time:42.124 | knn acc: 75.699 | loss:37.713 | cl_loss:37.713
[83-epoch] time:42.140 | knn acc: 75.514 | loss:37.714 | cl_loss:37.714
[84-epoch] time:42.066 | knn acc: 75.411 | loss:37.704 | cl_loss:37.704
[85-epoch] time:42.210 | knn acc: 74.825 | loss:37.699 | cl_loss:37.699
[86-epoch] time:42.200 | knn acc: 75.524 | loss:37.691 | cl_loss:37.691
[87-epoch] time:42.337 | knn acc: 74.784 | loss:37.693 | cl_loss:37.693
[88-epoch] time:42.139 | knn acc: 77.025 | loss:37.690 | cl_loss:37.690
[89-epoch] time:42.453 | knn acc: 76.377 | loss:37.658 | cl_loss:37.658
